IP:PORT, LOSS, DELAY
162.159.192.19:987,0.00%,153 ms
162.159.195.165:987,0.00%,158 ms
162.159.195.179:987,0.00%,159 ms
162.159.192.163:987,0.00%,159 ms
162.159.195.189:987,0.00%,162 ms
162.159.192.44:987,0.00%,162 ms
162.159.195.208:878,0.00%,166 ms
162.159.192.53:987,0.00%,166 ms
162.159.192.36:987,0.00%,167 ms
162.159.192.82:878,0.00%,168 ms
162.159.192.82:987,0.00%,168 ms
